codigo;descripcion_aperturas;clasificador;periodo;indice_ipc;v_m_ipc;v_i_a_ipc;region
0;Nivel general;Nivel general;2016-12-01;100,0000;NA;NA;Pampeana
0;Nivel general;Nivel general;2016-12-01;100,0000;NA;NA;Noreste
0;Nivel general;Nivel general;2016-12-01;100,0000;NA;NA;Noroeste
0;Nivel general;Nivel general;2016-12-01;100,0000;NA;NA;Cuyo
0;Nivel general;Nivel general;2016-12-01;100,0000;NA;NA;Patagonia
01;Alimentos y bebidas no alcohólicas;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
01;Alimentos y bebidas no alcohólicas;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
01;Alimentos y bebidas no alcohólicas;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
01;Alimentos y bebidas no alcohólicas;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
01;Alimentos y bebidas no alcohólicas;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
02;Bebidas alcohólicas y tabaco;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
02;Bebidas alcohólicas y tabaco;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
02;Bebidas alcohólicas y tabaco;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
02;Bebidas alcohólicas y tabaco;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
02;Bebidas alcohólicas y tabaco;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
03;Prendas de vestir y calzado;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
03;Prendas de vestir y calzado;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
03;Prendas de vestir y calzado;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
03;Prendas de vestir y calzado;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
03;Prendas de vestir y calzado;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
04;Vivienda, agua, electricidad, gas y otros combustibles;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
05;Equipamiento y mantenimiento del hogar;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
05;Equipamiento y mantenimiento del hogar;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
05;Equipamiento y mantenimiento del hogar;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
05;Equipamiento y mantenimiento del hogar;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
05;Equipamiento y mantenimiento del hogar;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
06;Salud;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
06;Salud;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
06;Salud;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
06;Salud;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
06;Salud;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
07;Transporte;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
07;Transporte;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
07;Transporte;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
07;Transporte;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
07;Transporte;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
08;Comunicación;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
08;Comunicación;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
08;Comunicación;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
08;Comunicación;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
08;Comunicación;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
09;Recreación y cultura;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
09;Recreación y cultura;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
09;Recreación y cultura;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
09;Recreación y cultura;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
09;Recreación y cultura;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
10;Educación;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
10;Educación;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
10;Educación;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
10;Educación;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
10;Educación;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
11;Restaurantes y hoteles;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
11;Restaurantes y hoteles;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
11;Restaurantes y hoteles;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
11;Restaurantes y hoteles;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
11;Restaurantes y hoteles;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
12;Bienes y servicios varios;Divisiones;2016-12-01;100,0000;NA;NA;Pampeana
12;Bienes y servicios varios;Divisiones;2016-12-01;100,0000;NA;NA;Noreste
12;Bienes y servicios varios;Divisiones;2016-12-01;100,0000;NA;NA;Noroeste
12;Bienes y servicios varios;Divisiones;2016-12-01;100,0000;NA;NA;Cuyo
12;Bienes y servicios varios;Divisiones;2016-12-01;100,0000;NA;NA;Patagonia
01.1;Alimentos;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
01.1;Alimentos;Grupos;2016-12-01;100,0000;NA;NA;Noreste
01.1;Alimentos;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
01.1;Alimentos;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
01.1;Alimentos;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
01.2;Bebidas no alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
01.2;Bebidas no alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Noreste
01.2;Bebidas no alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
01.2;Bebidas no alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
01.2;Bebidas no alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
02.1;Bebidas alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
02.1;Bebidas alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Noreste
02.1;Bebidas alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
02.1;Bebidas alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
02.1;Bebidas alcohólicas;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
02.2;Tabaco;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
02.2;Tabaco;Grupos;2016-12-01;100,0000;NA;NA;Noreste
02.2;Tabaco;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
02.2;Tabaco;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
02.2;Tabaco;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100,0000;NA;NA;Noreste
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
03.1;Prendas de vestir y materiales;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
03.2;Calzado;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
03.2;Calzado;Grupos;2016-12-01;100,0000;NA;NA;Noreste
03.2;Calzado;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
03.2;Calzado;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
03.2;Calzado;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100,0000;NA;NA;Noreste
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
04.1;Alquiler de la vivienda y gastos conexos;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100,0000;NA;NA;Noreste
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
04.5;Electricidad, gas y otros combustibles;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
05.6;Bienes y servicios para la conservación del hogar;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
05.6;Bienes y servicios para la conservación del hogar;Grupos;2016-12-01;100,0000;NA;NA;Noreste
05.6;Bienes y servicios para la conservación del hogar;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
05.6;Bienes y servicios para la conservación del hogar;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
05.6;Bienes y servicios para la conservación del hogar;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100,0000;NA;NA;Noreste
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
06.1;Productos medicinales, artefactos y equipos para la salud;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
07.1;Adquisición de vehículos;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
07.1;Adquisición de vehículos;Grupos;2016-12-01;100,0000;NA;NA;Noreste
07.1;Adquisición de vehículos;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
07.1;Adquisición de vehículos;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
07.1;Adquisición de vehículos;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100,0000;NA;NA;Noreste
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
07.2;Funcionamiento de equipos de transporte personal;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
07.3;Transporte público;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
07.3;Transporte público;Grupos;2016-12-01;100,0000;NA;NA;Noreste
07.3;Transporte público;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
07.3;Transporte público;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
07.3;Transporte público;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
08.3;Servicios de telefonía e internet;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
08.3;Servicios de telefonía e internet;Grupos;2016-12-01;100,0000;NA;NA;Noreste
08.3;Servicios de telefonía e internet;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
08.3;Servicios de telefonía e internet;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
08.3;Servicios de telefonía e internet;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100,0000;NA;NA;Noreste
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100,0000;NA;NA;Cuyo
09.4;Servicios recreativos y culturales;Grupos;2016-12-01;100,0000;NA;NA;Patagonia
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;2016-12-01;100,0000;NA;NA;Pampeana
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;2016-12-01;100,0000;NA;NA;Noreste
09.5;Periódicos, diarios, revistas, libros y artículos de papelería;Grupos;2016-12-01;100,0000;NA;NA;Noroeste
